num,title,artist,youtube
01,La meva terra es el mar,Lax'n'Busto,
02,Trepitja fort,Lax'n'Busto,
03,Mes que la meva sang,Lax'n'Busto,
04,Que boig el mon,Lax'n'Busto,
05,Les nits del Liceu,Lax'n'Busto,
06,Tu ets la meva llum,Lax'n'Busto,
07,Emiliano Zapata,Lax'n'Busto,
08,Si no ho fas tu,Lax'n'Busto,
09,El pages,Lax'n'Busto,
10,Mai diguis mai a un mai,Lax'n'Busto,
11,Ara,Lax'n'Busto,
12,Amb tu,Lax'n'Busto,
13,Pero mai tu,Lax'n'Busto,
14,Toca'm els ous Maria,Lax'n'Busto,
15,Per una copa,Lax'n'Busto,
16,Tornarem,Lax'n'Busto,
17,Llencat,Lax'n'Busto,
18,Miami beach,Lax'n'Busto,
19,Tinc fam de tu,Lax'n'Busto,
20,T'estimo molt,Lax'n'Busto,
